seller_sku,item_id_US,item_id_CA,BS_SKU,B_SKU,B_NZ_SKU
563BC_8,5242749458,44L9BR4TLS7P,,,
563WB,,5Y5C102UMHC7,563WB,,
563WB_1,5242749457,62O575R7XLNP,563WB,,
563WB_10,5236275198,4FDDREHCR9BX,563WB,,
563WB_10_VAR,,2V1K5X8X0QOY,,,
563WB_1_VAR,,6EO1JNID4Z1K,,,
563WB_6,5237088352,71LVWP3RAF1I,,,
563WB_6_VAR,,3Z0HYFY1BE69,,,
563WB_8,5242949019,71D37E80NQ3R,,,
563WB_8_VAR,,2ZYH3OEGZ6X4,,,
563WB_S,5292350953,23ZN732V4XSO,563WBS,,
563WB_S_VAR,,2K0Z4CEAV9CH,,,
564PP,,4KD2X67DAD5C,564PP,,
564PP_1,5236988564,75TNGPUGHH2G,564PP,,
564PP_10,5242949020,0WIR18FOJUDU,564PP,,
564PP_10_VAR,,5PKCR52DDSV7,,,
564PP_1_VAR,,68TUX5BFYPHK,,,
564PP_6,5292400986,4CVM5DX3G3ES,564PP,,
564PP_6_VAR,,6OVPJD9T65EX,,,
564PP_8,5242799438,2G3E5VBUMUCX,564PP,,
564PP_8_VAR,,3HXSOTNGRHUB,,,
564PP_S,5231732336,7KY1C38Z7611,,,
564PP_S_VAR,,7J4PPQ0Q4RTW,,,
565CW,,2BQQD8DIQ9YO,565CW,,
565CW_1,5293159564,49ZMRAQP0KRP,565CW,,
565CW_10,5235748396,2RQBYUEG656C,565CW,,
565CW_10_VAR,,6P7F2PJSDGAS,,,
565CW_1_VAR,,1VJ8T9AVEJIL,,,
565CW_6,5242749459,6O603OKZMNL3,565CW,,
565CW_6_VAR,,11M412RMB76O,,,
565CW_8,5287923725,2MY6F6ZR7A3W,565CW,,
565CW_8_VAR,,594JG5G82A55,,,
565CW_S,5242081916,3WZUT49G93OG,,,
565CW_S_VAR,,5QXC2WFEL3YC,,,
566CY,,58OM807EGGHS,566CY,,
566CY_1,5293005428,22YSF2MKL7YB,566CY,,
566CY_10,5235777718,2XTIAKV5797B,566CY,,
566CY_10_VAR,,62IX638V7ABR,,,
566CY_1_VAR,,15R2Z4NIDOZD,,,
566CY_6,5235698488,6ND1PIVZ1V50,566CY,,
566CY_6_VAR,,24JI71B7GU3L,,,
566CY_8,5242081177,5L8VBSV82A90,566CY,,
566CY_8_VAR,,3I2VUO2E5DA9,,,
566CY_S,5286461754,6CEX2V2BM7FK,,,
566CY_S_VAR,,78HA0CZPN5JD,,,
567CR_1,5286411798,7C7GL41JLJOT,,,
567CR_10,5231732337,3AFR2ADXYJO0,,,
567CR_10_VAR,,5ZK0MS75EWNC,,,
567CR_1_VAR,,3MACJ5ZE8O1F,,,
567CR_6,5232643651,64FIMDZF0WHY,,,
567CR_6_VAR,,2XT2VZEIBWPZ,,,
567CR_8,5292400408,5V9QXZMKGN2C,,,
567CR_8_VAR,,37BF8LCS5IC9,,,
567CR_S,5289704891,6FKLR2OX0SAQ,,,
567CR_S_VAR,,3LM3O8G7QW1F,,,
569BC,,2SX8ZZP493GY,569BC,,
569BC_10_VAR,,1WFPJEG2ZPQ6,,,
569BC_1_VAR,,5W3B0EIW75ER,,,
569BC_6_VAR,,4FBD5LBK7TAU,,,
569BC_8_VAR,,6676FU34SAQW,,,
569BC_S,5286462802,269UM5BQH27G,569BCS,,
569BC_S_VAR,,39GEANY96HHI,,,
570TG,,4JWDXHV6P148,570TG,,
570TG_1,5236988562,132KTCDG4ZLP,570TG,,
570TG_10,5293209262,6072YPVXQ7ZC,,,
570TG_10_VAR,,6O2G8ED5N5D2,,,
570TG_1_VAR,,7FLFTNNBTW4L,,,
570TG_6,5281058284,4K1OKAAZDZS3,,,
570TG_6_VAR,,156XYZQW01CQ,,,
570TG_8,5233826862,50ABIUQGFFWZ,,,
570TG_8_VAR,,4XNW5KFEVMR7,,,
570TG_S,5293005429,5CMD58JUP3A8,,,
570TG_S_VAR,,4NBA8KF3NYJP,,,
571OG,,4DUUGRCH239E,571OG,,
571OG_1,5286411799,2ZSUTXRVREIP,571OG,,
571OG_10,5231782006,1SWRYWUII6RK,571OG,,
571OG_10_VAR,,70XKLIUBVC5K,,,
571OG_1_VAR,,2PBNYWJDT3HD,,,
571OG_6,5286411800,1IG6LISKR9AK,571OG,,
571OG_6_VAR,,54BNEUMDSWEO,,,
571OG_8,5234894565,5NZTPF6TPAGZ,571OG,,
571OG_8_VAR,,6PL027M2RN2H,,,
571OG_S,5236883090,6B5IM7CY7148,,,
571OG_S_VAR,,1UNQKJVXZNIP,,,
572OR,,6EV4IE7CI41M,572OR,,
572OR_1,5289553361,2HC1H8SMEPY2,572OR,,
572OR_10,5235698489,1HAE4SEUBFNY,572OR,,
572OR_10_VAR,,3U42OJOX3COX,,,
572OR_1_VAR,,5I9V9U3H4MED,,,
572OR_6,5286362658,26140UUEGBVL,,,
572OR_6_VAR,,56AOKOCSMPZA,,,
572OR_8,5293159565,56MTAP7M16L4,,,
572OR_8_VAR,,70R36QBGY7NL,,,
572OR_S,5242081918,4QQYDBCFY120,,,
572OR_S_VAR,,7CC5TF97JW80,,,
573SG,,3D3M8BXA4LRQ,573SG,,
573SG_1,5232742366,56WNICU0LKCI,573SG,,
573SG_10,5236883091,7AIU4IHRXJGK,573SG,,
573SG_10_VAR,,3ELANRB0Z3O7,,,
573SG_1_VAR,,5UGD3H4Y9EDD,,,
573SG_6,5290752494,4BMMSDRFS58Y,573SG,,
573SG_6_VAR,,7L6Z2L6MW7DU,,,
573SG_8,5293159563,5INKXE2692UD,573SG,,
573SG_8_VAR,,65XP30A2T8WZ,,,
573SG_S,5287923724,5GYUJLB3O8Z5,,,
573SG_S_VAR,,4LU8U0TD071C,,,
576574,3597212506,5KQCFKKIKMEE,,576574,576574
